feature,importance
characters,0.02174176131532145
collection,0.020615964644867087
issue,0.017287223006787054
series,0.014983222211548419
character,0.014852478466382319
art,0.012615285719176304
really,0.009968803066548052
say,0.009306240188825091
graphic,0.008798442407687412
good,0.008414347643945637
plot,0.007738146912166818
volume,0.00741441305080839
lot,0.006562974560541553
books,0.006229411350654063
life,0.00554731786402085
reading,0.005411999439518689
mean,0.005318535743811462
bad,0.005295533027940632
need,0.0051974202482639245
end,0.004973959339961544
way,0.0048945522021783625
course,0.004756780922915097
read,0.004593951358396047
don,0.004535780895649616
batman,0.004506419735907835
love,0.004487889596560679
like,0.004444772145694537
time,0.004440665473428493
great,0.004408093526137186
things,0.004229842878979364
